State,District,Year,Season,Crop,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield_kg_ha,Price_INR_q
Uttar Pradesh,Moradabad,2019,Rabi,Onion,98.27,33.71,103.73,23.35,77.39,6.72,814.06,18713.7,2054.06
Tamil Nadu,Coimbatore,2019,Annual,Coconut,25.47,21.48,19.26,28.7,77.67,6.0,1061.88,5588.7,1481.12
Telangana,Warangal,2023,Kharif,Rice,43.97,53.11,19.99,30.43,64.12,6.97,938.28,4127.1,1697.85
Andhra Pradesh,Vijayawada,2020,Annual,Mango,15.5,26.34,24.29,30.96,46.86,6.15,644.97,7838.14,2743.78
Tamil Nadu,Thanjavur,2019,Kharif,Rice,81.58,41.83,45.59,29.702,60.7487,6.9926,725.85,4227.8,1793.11
Kerala,Kochi,2021,Kharif,Rice,107.13,21.77,28.53,25.05,79.77,5.24,2941.88,4491.2,2116.03
Punjab,Gurdaspur,2019,Kharif,Rice,113.3,44.82,35.62,32.27,56.75,7.0,545.72,3008.4,2023.64
Jammu & Kashmir,Udhampur,2021,Kharif,Rice,69.85,61.35,28.88,16.8384,67.6114,5.8007,1193.77,2081.8,1740.95
Maharashtra,Jalgaon,2023,Rabi,Tomato,55.43,49.11,73.17,23.02,82.43,6.45,1110.43,22249.79,2695.14
Mizoram,Champhai,2021,Kharif,Maize,96.13,37.58,24.22,19.8299,87.6379,5.6902,2651.71,3469.1,1869.12
Jharkhand,Bokaro,2023,Kharif,PigeonPeas,27.17,64.54,48.72,31.85,78.37,5.85,1205.48,209.52,5841.14
Assam,Cachar,2023,Kharif,Jute,113.5,39.84,42.08,23.4469,94.0723,5.4969,1508.52,2664.5,4656.03
Goa,South Goa,2019,Annual,Banana,95.19,95.08,32.15,25.25,83.47,6.84,2707.35,21912.1,1201.72
Bihar,Purnia,2019,Rabi,Wheat,88.95,76.19,45.03,17.16,79.94,6.3,722.32,2607.12,1891.94
Odisha,Ganjam,2020,Rabi,Mustard,43.73,44.63,35.68,29.65,86.86,6.74,1253.06,1205.62,5023.72
Karnataka,Belagavi,2019,Rabi,Grapes,41.37,131.08,183.19,19.22,73.78,6.22,782.39,15875.8,4425.97
Puducherry,Puducherry,2019,Rabi,Tomato,58.69,59.29,99.47,21.86,76.99,6.84,1047.88,16657.9,2817.04
Madhya Pradesh,Bhopal,2021,Rabi,Lentil,16.93,78.04,18.53,26.133,78.8416,7.4477,791.19,766.7,5995.43
Uttar Pradesh,Varanasi,2023,Annual,Sugarcane,125.77,43.54,55.15,31.22,85.91,7.28,685.7,52745.5,304.63
Uttar Pradesh,Mathura,2022,Annual,Sugarcane,94.87,80.75,67.36,22.21,67.08,6.98,992.2,50707.1,261.44
Gujarat,Kaira,2019,Kharif,Rice,70.62,28.02,56.0,34.1,43.09,7.39,729.3,2000.54,1948.06
Madhya Pradesh,Rewa,2019,Kharif,Maize,49.22,17.03,59.42,28.04,71.11,6.13,743.73,2512.5,2059.89
Madhya Pradesh,Ujjain,2022,Kharif,Cotton,101.88,31.18,59.78,19.6146,38.96,6.4949,939.16,546.1,5137.94
Assam,Kamrup,2019,Kharif,Jute,78.03,46.78,42.3,25.9325,93.101,5.8114,1957.84,2517.8,4261.68
Tripura,South Tripura,2020,Kharif,Jute,85.87,55.87,30.42,30.5159,78.1076,5.0557,2143.96,3225.0,3861.14
Madhya Pradesh,Dewas,2020,Rabi,Lentil,31.96,56.22,28.43,24.8903,53.3948,7.1151,790.53,1167.6,5829.12
Manipur,Imphal West,2021,Zaid,MungBean,21.06,49.99,39.68,23.54,69.67,6.41,1599.29,732.8,7316.93
Chhattisgarh,Ambikapur,2023,Kharif,Rice,95.33,42.4,42.59,26.19,53.03,6.34,1043.14,3491.1,1971.26
West Bengal,Bardhaman,2022,Kharif,Rice,66.03,38.95,16.4,29.7931,76.9726,6.2477,1721.68,2481.6,1948.51
Uttar Pradesh,Meerut,2019,Rabi,Mustard,45.95,37.73,43.19,16.17,46.65,6.39,599.13,1242.6,4493.52
Kerala,Thrissur,2023,Annual,Banana,84.82,77.19,63.21,28.2,78.62,6.08,2584.72,22749.2,1328.68
Jammu & Kashmir,Anantnag,2021,Kharif,Maize,122.48,46.33,46.87,23.24,70.96,6.63,638.37,2335.4,1679.97
Maharashtra,Wardha,2019,Annual,Mango,19.79,36.13,22.14,35.7,64.21,6.44,1222.56,7724.9,3166.12
Madhya Pradesh,Hoshangabad,2022,Rabi,Onion,89.09,42.11,54.57,17.59,31.06,6.93,692.5,12747.2,1976.6
Nagaland,Dimapur,2022,Rabi,Potato,106.41,45.55,108.28,21.58,80.05,6.11,1479.65,18437.3,996.05
Meghalaya,East Khasi Hills,2021,Kharif,Turmeric,118.29,60.51,143.2,17.7661,83.6219,5.4897,1423.0,4585.3,7243.31
Kerala,Thrissur,2022,Annual,Banana,97.04,104.16,47.4,26.31,96.99,5.5,3517.38,24153.2,1214.69
Uttar Pradesh,Gorakhpur,2020,Rabi,Onion,48.18,43.93,68.88,30.24,68.17,7.13,1085.77,12091.9,2163.72
Tripura,North Tripura,2019,Kharif,Ginger,101.63,56.63,97.44,27.4627,90.884,5.5633,1963.37,3949.4,5624.23
Tamil Nadu,Trichy,2023,Annual,Sugarcane,104.02,46.89,83.05,24.6,51.94,6.13,1101.01,62200.9,300.78
Madhya Pradesh,Gwalior,2021,Rabi,Mustard,81.68,38.96,36.47,27.6559,49.2799,7.2601,675.29,1517.6,5661.45
Mizoram,Champhai,2021,Kharif,Ginger,89.48,44.82,123.78,19.15,90.92,4.68,2045.81,4414.0,5607.64
Karnataka,Mysuru,2019,Kharif,Groundnut,23.7,80.31,35.51,31.58,77.52,6.42,1005.67,2484.2,6342.79
West Bengal,Jalpaiguri,2023,Rabi,Mustard,83.49,67.4,35.62,24.87,59.44,6.22,1336.67,2079.04,5668.34
Odisha,Sambalpur,2020,Rabi,Mustard,83.93,55.6,33.62,25.67,88.13,5.56,1594.26,1355.6,6083.13
Maharashtra,Amravati,2022,Annual,Banana,89.33,87.62,58.75,23.669,63.114,5.2949,1079.89,27915.6,1119.25
Odisha,Bhadrak,2021,Rabi,Tomato,71.68,66.68,70.82,24.8018,83.5667,5.301,1444.2,18570.1,2323.0
Telangana,Medak,2023,Annual,Banana,59.01,23.75,58.37,24.6,87.5,6.23,936.45,28815.9,1289.94
Bihar,Saran,2022,Annual,Sugarcane,89.94,52.72,71.31,23.9856,61.2055,6.6885,920.91,59150.0,315.39
Bihar,Sitamarhi,2021,Rabi,Mustard,55.65,22.22,67.91,30.72,83.83,7.71,975.31,1455.9,5978.55
Maharashtra,Pune,2020,Rabi,Grapes,24.96,132.01,187.36,26.2023,58.1979,6.0218,1141.72,14660.8,3411.54
Maharashtra,Aurangabad,2021,Kharif,Rice,88.24,44.64,18.99,29.3266,49.1927,6.4523,890.53,4027.1,1715.65
Punjab,Moga,2021,Rabi,Wheat,108.52,43.72,49.79,17.8,62.13,6.99,709.3,4879.34,1710.52
Tamil Nadu,Ramanathapuram,2023,Annual,Coconut,15.77,19.73,18.58,28.93,62.49,5.87,986.47,9382.05,1677.45
Sikkim,North Sikkim,2023,Rabi,Potato,86.59,66.52,122.72,4.78,80.96,5.34,1851.66,17000.4,955.17
Nagaland,Tuensang,2021,Zaid,MungBean,17.66,42.35,18.09,23.0189,59.4436,6.492,1615.59,842.3,7383.04
Andhra Pradesh,West Godavari,2023,Annual,Banana,128.08,76.29,42.64,28.8042,64.223,6.3523,979.54,22873.1,1264.71
Odisha,Cuttack,2022,Kharif,Turmeric,83.28,67.78,123.3,31.4102,83.4894,5.9237,1834.16,4964.0,7562.91
Uttar Pradesh,Prayagraj,2020,Annual,Sugarcane,78.82,63.4,62.49,19.74,63.81,7.23,787.9,65772.2,277.4
Telangana,Adilabad,2022,Kharif,Cotton,154.43,46.57,37.86,31.2,66.52,6.65,1182.88,338.7,5863.84
Kerala,Idukki,2019,Annual,Banana,92.76,65.39,58.79,28.1986,87.871,5.5836,3184.57,23693.3,1164.3
Andhra Pradesh,Nellore,2019,Rabi,Tomato,95.06,34.64,69.07,21.9547,53.2165,6.054,1090.43,18072.7,2397.55
Madhya Pradesh,Gwalior,2021,Rabi,Lentil,14.61,88.19,20.1,26.4511,49.7108,6.9963,846.23,844.6,6162.14
Ladakh,Kargil,2019,Rabi,Mustard,92.45,43.22,43.78,4.89,35.67,6.81,127.11,1413.7,5455.36
West Bengal,Darjeeling,2020,Rabi,Mustard,70.42,28.82,34.77,12.88,80.89,6.29,1113.29,2204.94,5270.05
Madhya Pradesh,Shivpuri,2019,Kharif,Soybean,32.93,57.84,68.57,26.8311,68.5489,6.102,700.41,1086.1,3886.44
West Bengal,Darjeeling,2019,Rabi,Mustard,98.41,43.02,61.01,28.243,91.5809,5.8531,1352.69,1404.7,5676.08
Karnataka,Kalaburagi,2019,Rabi,Sunflower,84.43,24.48,36.87,18.7642,69.4711,6.8396,960.09,1629.5,5177.33
Chandigarh,Chandigarh,2021,Rabi,Wheat,99.48,61.95,33.94,19.3282,39.5426,8.0621,628.62,3984.5,2244.85
Tamil Nadu,Madurai,2023,Rabi,Onion,94.57,50.78,60.08,26.55,82.18,6.12,538.14,17278.8,1930.64
Andhra Pradesh,Visakhapatnam,2019,Annual,Banana,49.34,73.37,47.64,25.66,62.85,6.11,1220.78,24192.8,1237.72
Telangana,Nalgonda,2019,Kharif,Maize,71.12,41.12,34.97,32.98,67.51,6.45,831.11,4375.8,2074.35
Sikkim,South Sikkim,2023,Kharif,Rice,83.14,21.63,37.5,15.7563,84.7645,4.3329,2760.35,4058.4,2197.66
Nagaland,Mokokchung,2020,Kharif,Maize,89.36,28.38,54.97,21.3554,81.2786,4.7018,2104.46,3175.4,1611.65
Himachal Pradesh,Hamirpur,2021,Rabi,Potato,152.0,58.34,79.5,4.45,65.24,6.55,1313.97,23334.62,1086.56
Kerala,Kochi,2019,Annual,Coconut,22.13,9.17,27.49,22.9936,87.3381,5.778,2976.36,6416.6,1536.88
Meghalaya,West Khasi Hills,2019,Kharif,Rice,119.8,33.09,21.72,25.54,85.81,4.72,2684.21,3547.4,2076.36
Andhra Pradesh,East Godavari,2023,Kharif,Groundnut,17.14,52.61,40.81,28.0279,72.5005,6.3381,986.52,1745.3,6119.34
Karnataka,Hubballi,2019,Rabi,Grapes,33.99,85.51,192.26,16.9,65.77,6.68,1059.2,14526.03,3890.5
Sikkim,West Sikkim,2022,Kharif,Maize,53.4,63.27,62.3,14.36,79.81,4.74,2039.93,3520.74,1744.06
Bihar,Rohtas,2023,Kharif,Maize,43.33,45.51,68.4,30.04,77.2,6.16,1077.96,2199.8,1935.59
Karnataka,Bellary,2022,Kharif,Rice,84.51,42.91,37.35,23.9522,62.7224,5.8348,719.29,2998.9,1903.2
Gujarat,Bhavnagar,2021,Kharif,Rice,74.7,47.25,34.45,25.01,60.32,7.43,805.32,4320.2,1779.22
Karnataka,Belagavi,2022,Annual,Mango,11.49,13.53,27.03,33.25,65.47,7.18,826.07,6921.27,3191.67
Uttar Pradesh,Saharanpur,2023,Zaid,MungBean,17.33,53.91,30.11,25.94,68.47,7.75,775.42,731.9,8091.79
Uttar Pradesh,Ghaziabad,2023,Rabi,Wheat,114.37,61.5,23.29,20.31,65.73,7.29,907.93,4402.7,1865.67
Assam,Jorhat,2023,Rabi,Mustard,61.47,55.28,33.16,25.81,80.15,5.63,1410.22,1356.0,6503.86
Karnataka,Belagavi,2019,Annual,Mango,7.71,12.5,30.12,32.25,62.36,7.25,784.26,6137.8,3315.44
Haryana,Bhiwani,2023,Kharif,Cotton,147.0,52.72,25.15,31.27,71.08,7.51,539.71,541.0,6032.02
Telangana,Medak,2019,Rabi,Sunflower,65.96,27.22,58.77,20.96,70.06,6.5,1206.74,1097.2,6108.0
Haryana,Panipat,2022,Rabi,Wheat,145.99,67.97,33.91,21.23,79.27,7.21,647.26,4286.47,1882.22
Jharkhand,Ranchi,2020,Kharif,Maize,38.96,40.48,59.25,30.36,68.88,6.2,1315.13,3283.3,1970.3
Lakshadweep,Lakshadweep,2019,Annual,Coconut,22.49,21.79,16.16,27.239,84.9975,5.9326,2189.47,8294.8,1535.92
Jammu & Kashmir,Baramulla,2023,Kharif,Maize,91.68,59.47,72.79,19.02,63.29,7.14,1102.9,3184.9,2093.35
Madhya Pradesh,Satna,2019,Annual,Sugarcane,88.73,61.38,86.37,25.99,67.84,6.44,923.2,76507.09,236.63
Rajasthan,Bharatpur,2019,Kharif,Groundnut,25.19,79.02,29.31,25.2593,47.7629,7.6017,425.26,2016.9,6122.4
Uttar Pradesh,Lucknow,2021,Kharif,Rice,86.17,37.76,28.74,25.4281,58.1761,7.3162,1239.3,4210.0,1903.43
Madhya Pradesh,Rewa,2020,Rabi,Lentil,15.45,40.8,5.73,21.1493,64.2185,6.7642,834.5,958.8,4655.75
Haryana,Faridabad,2019,Kharif,Rice,110.47,42.51,36.78,29.2,59.27,7.36,619.18,3059.5,1995.39
West Bengal,Jalpaiguri,2019,Annual,Sugarcane,79.72,65.36,79.59,26.5,89.11,5.39,1740.24,77072.2,287.67
Karnataka,Tumkur,2021,Kharif,Cotton,119.83,59.91,31.92,25.0986,80.9812,6.7429,573.83,448.3,6304.6
Maharashtra,Amravati,2021,Kharif,Cotton,145.11,55.69,39.94,23.3854,68.3486,5.8617,1468.1,478.1,5545.43
Kerala,Kochi,2022,Annual,Coconut,18.41,14.75,29.8,28.13,80.98,5.28,3191.68,6156.1,1545.28
Jammu & Kashmir,Baramulla,2019,Rabi,Lentil,12.98,42.01,26.53,4.68,60.81,4.41,825.15,765.8,4627.28
Rajasthan,Jaisalmer,2019,Rabi,Wheat,84.39,56.41,21.57,19.65,35.97,7.61,400.75,3592.9,2075.66
Rajasthan,Pali,2020,Kharif,MothBeans,28.22,32.96,79.11,32.0,19.17,7.24,385.09,599.4,3991.44
Odisha,Rayagada,2023,Kharif,Groundnut,27.02,78.79,32.31,26.1425,73.6904,6.1,1217.16,2237.9,5524.62
Tamil Nadu,Nagapattinam,2021,Rabi,Tomato,95.75,57.39,42.98,30.42,67.44,6.63,1053.31,17231.9,2440.77
Maharashtra,Wardha,2019,Annual,Mango,26.63,27.47,48.92,28.63,68.71,5.29,850.34,6462.1,3193.04
Odisha,Ganjam,2020,Rabi,Mustard,90.36,32.9,27.17,26.82,76.46,5.31,1685.83,1714.5,6026.59
Assam,Golaghat,2020,Kharif,Rice,108.87,62.23,31.18,26.4015,84.4389,5.3492,2158.08,3824.9,1742.45
Delhi,East Delhi,2022,Rabi,Potato,132.75,59.05,106.32,34.4448,36.4373,7.3797,574.31,24061.3,838.35
Rajasthan,Barmer,2023,Kharif,Cotton,85.44,54.46,47.72,16.97,47.96,7.78,385.78,1.0,5779.97
Haryana,Faridabad,2021,Kharif,Cotton,68.12,30.47,36.73,13.5388,41.9761,8.1215,536.45,302.8,6116.47
Mizoram,Champhai,2022,Rabi,Potato,197.87,54.24,55.5,21.0718,77.5317,5.7604,2040.08,23678.6,961.91
Tripura,East Tripura,2019,Kharif,Jute,98.06,52.53,34.97,26.7094,70.9245,5.7619,1569.3,2141.7,4106.76
Assam,Cachar,2022,Annual,Sugarcane,104.16,63.21,82.68,22.9,89.83,5.33,1601.45,85351.9,267.48
Odisha,Balasore,2021,Kharif,Groundnut,26.9,46.88,28.08,32.3709,81.6215,6.1105,1547.53,1973.0,6267.73
Assam,Tinsukia,2020,Rabi,Mustard,106.2,49.33,65.04,22.03,76.98,5.19,1647.76,1910.4,5510.29
Odisha,Berhampur,2022,Rabi,Mustard,97.63,41.73,40.15,18.68,88.23,6.11,1953.61,1878.8,5200.29
Madhya Pradesh,Narsinghpur,2020,Rabi,Mustard,85.93,26.77,22.67,24.784,64.4726,7.0024,986.73,1434.5,5794.73
Manipur,Imphal East,2019,Kharif,Maize,60.99,27.3,44.16,18.73,76.18,6.31,1398.4,3108.0,1708.14
Rajasthan,Alwar,2023,Kharif,Cotton,142.87,45.19,51.65,37.71,47.18,8.59,531.63,378.0,6972.31
Nagaland,Wokha,2021,Zaid,MungBean,23.95,50.71,49.91,21.78,84.71,6.12,2141.41,401.68,6608.85
Bihar,Rohtas,2022,Rabi,Onion,79.32,22.07,89.03,28.47,73.96,6.87,1219.16,20804.25,2073.54
Rajasthan,Pali,2021,Rabi,Wheat,63.33,57.76,22.26,17.26,52.16,6.87,493.86,2772.9,1804.81
Maharashtra,Yavatmal,2021,Kharif,Soybean,33.44,62.59,36.08,29.7224,49.2098,5.6909,1100.07,1079.7,4547.32
Sikkim,West Sikkim,2023,Kharif,Ginger,105.13,55.15,83.25,25.9412,66.3533,5.5664,2002.43,3597.8,5429.87
Assam,Dibrugarh,2020,Annual,Banana,72.16,66.73,46.16,25.75,83.81,5.93,2104.76,27976.91,1186.5
Odisha,Rourkela,2022,Annual,Coconut,33.96,18.41,45.58,25.62,66.05,6.01,1319.66,8600.0,1685.71
Tamil Nadu,Tirunelveli,2020,Annual,Banana,79.14,95.84,58.65,25.54,81.02,6.68,940.16,23504.02,1275.47
Himachal Pradesh,Bilaspur,2021,Kharif,Maize,57.87,8.12,47.66,21.7154,70.6743,4.9516,1190.06,3194.4,1799.9
Andhra Pradesh,East Godavari,2022,Kharif,Groundnut,28.01,54.54,34.9,24.3328,68.7654,7.0057,876.05,2149.1,6053.57
Jammu & Kashmir,Kupwara,2021,Kharif,Soybean,55.72,60.54,27.76,8.27,86.67,7.54,794.86,1980.4,3989.59
Karnataka,Bengaluru Urban,2019,Kharif,Maize,66.04,26.99,44.17,19.18,69.14,6.63,1163.86,3698.7,1942.5
Rajasthan,Pali,2020,Rabi,Wheat,59.33,59.47,20.74,16.5831,53.0383,6.9235,439.62,2772.9,1804.81
Kerala,Alappuzha,2021,Kharif,Turmeric,82.98,63.58,114.12,23.4498,80.8023,5.2455,3488.67,4717.1,7985.69
Jharkhand,Hazaribagh,2021,Kharif,Rice,86.34,29.87,53.28,19.93,62.2,5.35,1073.85,2027.9,2061.04
Tamil Nadu,Krishnagiri,2022,Kharif,Turmeric,101.0,38.68,145.5,25.99,76.74,6.94,1272.59,4443.6,6740.99
Nagaland,Mokokchung,2020,Kharif,Ginger,96.77,50.01,87.2,14.31,87.04,5.14,1638.29,4304.94,5594.17
Arunachal Pradesh,Itanagar,2019,Kharif,Maize,94.14,42.68,59.49,22.71,77.54,5.97,2332.79,3144.9,1641.7
Uttar Pradesh,Bulandshahr,2022,Annual,Mango,34.44,26.4,39.67,21.46,69.75,7.2,613.97,7946.5,2839.5
West Bengal,Malda,2023,Annual,Mango,18.86,20.72,12.99,29.5171,90.3938,6.1865,1501.37,9245.4,2566.61
Puducherry,Puducherry,2020,Annual,Sugarcane,46.98,29.74,70.18,27.628,74.744,6.5931,1374.93,79776.3,319.33
Gujarat,Kaira,2021,Kharif,Groundnut,36.15,33.27,33.16,27.39,69.47,7.09,424.6,1539.1,5296.91
Bihar,Saran,2022,Rabi,Mustard,94.31,30.52,31.74,32.1893,71.4611,7.6633,610.39,1925.1,5843.46
Haryana,Kurukshetra,2023,Rabi,Mustard,72.96,41.12,37.18,16.82,77.13,7.53,548.58,908.53,5272.31
Sikkim,North Sikkim,2020,Kharif,Rice,107.3,39.3,6.67,16.21,85.71,4.45,2253.24,3687.73,1772.1
Delhi,New Delhi,2023,Rabi,Tomato,103.23,62.07,74.44,24.25,46.73,6.98,779.31,15458.8,2567.03
Andhra Pradesh,Chittoor,2023,Kharif,Maize,104.37,46.29,59.47,35.1,65.38,6.08,1287.76,3846.8,1722.85
Daman & Diu,Diu,2021,Rabi,Wheat,102.16,48.25,52.41,26.71,79.29,6.94,1835.11,2789.0,1693.14
Himachal Pradesh,Mandi,2019,Rabi,Tomato,82.07,30.71,97.39,19.13,74.55,6.17,1315.99,17751.8,2632.08
Dadra & Nagar Haveli,Dadra and Nagar Haveli,2022,Kharif,Maize,57.56,50.91,34.04,31.91,96.75,6.27,1908.33,4864.99,1764.56
Jammu & Kashmir,Rajouri,2023,Kharif,Maize,108.82,56.39,64.08,18.3939,70.627,6.8848,991.29,3431.9,1765.94
Manipur,Thoubal,2021,Kharif,Rice,76.73,54.26,41.7,16.2455,58.1173,5.3644,1569.83,2559.6,1625.41
Uttar Pradesh,Kanpur,2022,Rabi,Onion,81.23,46.46,63.57,20.74,42.69,6.84,843.25,11571.4,2088.78
Maharashtra,Amravati,2023,Kharif,Cotton,72.67,54.47,63.87,32.56,60.6,7.44,1040.96,350.6,6167.41
Kerala,Thiruvananthapuram,2023,Kharif,Rice,70.2,42.04,41.97,25.9,94.71,5.99,3471.28,2081.6,2086.83
Uttar Pradesh,Bulandshahr,2022,Annual,Sugarcane,121.43,71.06,60.4,27.46,53.03,7.47,716.14,64856.1,304.73
Tamil Nadu,Tiruppur,2020,Kharif,Rice,86.37,37.11,22.93,25.41,61.77,6.15,845.91,3281.36,1983.66
Madhya Pradesh,Satna,2021,Rabi,Mustard,107.64,31.7,34.13,19.38,51.42,6.98,722.14,1748.1,4638.79
Telangana,Nizamabad,2021,Annual,Mango,28.83,24.18,36.33,24.87,66.21,6.54,1128.79,8047.3,3004.8
Gujarat,Kheda,2020,Kharif,Rice,113.53,37.46,39.92,31.98,39.88,6.97,820.37,3012.1,1777.3
Assam,Dibrugarh,2023,Kharif,Turmeric,68.44,76.88,131.32,27.37,83.65,6.24,1645.66,4446.4,7204.66
Chhattisgarh,Jagdalpur,2019,Kharif,Soybean,52.82,50.99,29.82,26.3631,76.4813,6.2294,1210.71,1387.9,4143.53
Odisha,Puri,2022,Kharif,Groundnut,29.97,56.95,19.81,32.8738,83.5657,6.4737,1342.88,1561.8,6019.36
Arunachal Pradesh,Itanagar,2020,Rabi,Potato,86.67,52.18,79.61,11.3,94.18,5.68,2040.99,18890.5,959.96
Madhya Pradesh,Narsinghpur,2022,Rabi,Onion,55.52,19.83,87.48,21.05,59.55,7.42,993.5,13335.3,1859.87
Chandigarh,Chandigarh,2019,Rabi,Mustard,64.62,29.72,73.38,25.5029,82.3042,6.9334,636.27,1394.9,5416.27
Delhi,North Delhi,2020,Rabi,Tomato,49.55,56.22,81.24,16.37,76.21,7.08,616.34,17765.8,2529.45
Assam,Cachar,2020,Kharif,Jute,58.0,44.78,50.18,24.7094,91.7943,5.3649,2285.94,3343.8,3797.82
Odisha,Cuttack,2020,Kharif,Maize,76.64,34.82,52.14,27.8,71.55,5.61,1934.63,3390.4,1864.22
Arunachal Pradesh,West Kameng,2019,Kharif,Ginger,90.69,44.62,107.88,13.76,89.72,6.09,2883.55,4385.9,5456.67
Uttar Pradesh,Kanpur,2020,Rabi,Lentil,19.23,55.08,10.47,21.33,72.21,7.09,606.49,765.0,5573.96
Jharkhand,Ranchi,2023,Rabi,Lentil,12.87,50.66,19.53,15.65,67.85,6.67,1441.56,742.8,4633.33
Andhra Pradesh,Chittoor,2019,Annual,Banana,96.56,114.18,29.48,28.13,74.82,5.78,918.15,26244.12,1109.26
Andaman & Nicobar,South Andaman,2022,Kharif,Turmeric,85.47,61.17,107.9,31.1905,89.9504,5.473,2826.93,3693.9,6620.85
Nagaland,Dimapur,2021,Rabi,Potato,104.07,54.4,105.77,15.3551,79.6659,5.6649,1562.85,19470.1,1088.48
Uttar Pradesh,Rae Bareli,2022,Kharif,Rice,106.13,36.39,35.07,27.7311,83.5903,7.6791,1036.12,3759.2,1926.85
Andhra Pradesh,Vijayawada,2022,Kharif,Cotton,104.32,41.2,79.65,30.48,81.15,6.06,944.34,414.2,6506.31
Assam,Dibrugarh,2022,Annual,Banana,86.18,80.99,60.36,28.1043,87.5411,5.4796,2012.24,20010.5,1292.95
Jammu & Kashmir,Udhampur,2019,Kharif,Rice,89.51,35.18,39.7,15.3367,59.0501,7.3747,1231.41,3719.1,1659.48
Maharashtra,Aurangabad,2020,Kharif,Cotton,133.71,43.23,48.73,25.84,50.85,6.81,1025.26,445.0,6179.78
Mizoram,Serchhip,2022,Kharif,Rice,92.76,30.52,46.79,22.16,77.1,5.4,1687.76,2869.67,1647.18
Rajasthan,Bikaner,2021,Kharif,Groundnut,21.82,27.81,41.66,22.57,17.36,8.38,343.6,2022.7,5611.88
Uttar Pradesh,Agra,2020,Annual,Mango,12.39,38.06,21.66,15.21,65.65,6.88,967.42,5776.3,3020.56
Jharkhand,Deoghar,2023,Rabi,Lentil,18.29,53.65,21.9,23.68,81.43,6.19,1260.13,1091.5,5319.6
Karnataka,Dharwad,2022,Kharif,Cotton,113.73,34.68,62.66,26.0309,72.4493,5.7887,949.26,310.2,6303.43
Haryana,Jhajjar,2020,Kharif,Maize,53.59,98.81,51.83,35.32,39.7,7.57,1054.62,2136.4,1775.54
Andhra Pradesh,Visakhapatnam,2021,Kharif,Maize,92.77,43.74,40.86,26.2466,63.6735,6.6525,863.95,2616.4,2160.59
Jammu & Kashmir,Jammu,2022,Rabi,Apple,16.89,87.12,210.7,13.4517,73.847,6.0113,1395.18,13002.0,4547.25
Nagaland,Kohima,2022,Kharif,Rice,67.54,28.6,49.04,16.77,75.51,4.89,1476.44,2156.1,1890.93
Maharashtra,Akola,2020,Rabi,Grapes,15.94,137.47,207.7,23.23,65.46,6.17,822.87,14880.36,4152.58
Rajasthan,Udaipur,2021,Rabi,Wheat,106.62,28.11,42.73,20.4357,43.8889,9.4506,346.53,2689.8,1849.59
Bihar,Sitamarhi,2020,Rabi,Potato,139.59,43.4,108.21,24.11,61.22,6.37,1271.2,22031.41,1149.86
Madhya Pradesh,Bhopal,2021,Rabi,Potato,117.89,73.4,88.67,25.362,44.0142,6.7267,1207.25,19761.9,1089.75
Maharashtra,Osmanabad,2021,Kharif,Soybean,43.32,32.28,22.3,21.6884,56.0135,5.9809,889.82,1617.4,3888.86
Tamil Nadu,Cuddalore,2023,Annual,Banana,54.87,76.02,46.65,31.33,91.86,6.38,996.55,22679.07,1244.4
Maharashtra,Mumbai,2020,Annual,Mango,14.17,4.62,49.72,25.97,62.02,7.01,501.25,10123.14,3131.89
Uttar Pradesh,Lucknow,2022,Annual,Banana,111.5,88.18,43.73,31.9243,91.0713,6.8994,1086.62,29736.3,1176.74
Punjab,Amritsar,2020,Kharif,Rice,64.66,33.91,49.27,8.8,59.01,7.25,845.48,3215.4,1896.88
Goa,North Goa,2022,Annual,Sugarcane,130.94,90.11,79.11,28.01,79.74,5.87,2397.8,65739.2,268.66
West Bengal,Midnapore,2019,Annual,Sugarcane,128.45,61.35,76.39,27.54,82.25,5.47,1516.12,74980.0,304.52
Tamil Nadu,Nagapattinam,2023,Kharif,Cotton,113.49,41.08,44.18,32.1156,72.1329,5.4557,658.77,404.5,6354.08
Jammu & Kashmir,Poonch,2020,Rabi,Lentil,14.48,72.0,22.68,22.4,80.36,6.53,1150.88,1084.3,5894.44
Uttarakhand,Tehri Garhwal,2022,Rabi,Potato,134.63,43.45,76.94,16.85,64.53,5.12,1395.92,16338.24,1133.16
Uttar Pradesh,Fatehpur,2022,Rabi,Potato,115.22,70.09,100.68,19.76,75.78,7.83,1006.91,19924.0,1002.9
Rajasthan,Jaipur,2022,Kharif,Soybean,47.18,48.67,45.19,33.3,62.78,8.92,282.6,1597.6,3818.93
Gujarat,Jamnagar,2021,Kharif,Groundnut,30.89,51.06,37.1,30.1417,62.5223,5.9524,618.95,1946.6,5599.75
Madhya Pradesh,Vidisha,2020,Kharif,Groundnut,18.47,42.98,30.62,38.33,52.25,8.1,857.38,1852.8,5405.64
Madhya Pradesh,Bhopal,2022,Rabi,Lentil,23.0,97.3,23.28,20.0775,57.698,6.2581,751.74,1092.5,6303.84
Bihar,Nalanda,2023,Annual,Sugarcane,83.29,56.71,75.3,23.2568,72.9169,6.3012,872.64,74217.9,275.47
